ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
feijaoConcorrente	conc_87	FEIJAO RAJADO KICALDO T1 1KG	0	Uni
	conc_88	FEIJAO BRANCO KICALDO T1 1KG	0	uni
	conc_89	FEIJAO PRETO SOLITO T1 1KG	0	uni
	conc_90	FEIJAO PRETO CAMIL T1 1KG	0	uni
	conc_91	FEIJAO PRETO BROTO LEGAL T1 1KG	0	uni
	conc_92	FEIJAO PRETO BOM TEMPO T1 1KG	0	uni
	conc_93	FEIJAO PRETO KICALDO T1 1KG	0	uni
arrozConcorrente	conc_164	ARROZ INTEGRAL BROTO LEGAL T1 1KG	0	uni
	conc_148	FEIJAO PRETO PANTERA T1 1KG	0	uni
feijaoConcorrente	conc_149	FEIJAO CARIOCA PAULISTINHA T1 1KG	0	uni
arrozConcorrente	conc_150	ARROZ BRANCO PILECCO NOBRE T1 5KG	0	uni
arrozConcorrente	conc_151	ARROZ BRANCO JOLI T1 5KG	0	UNI
arrozConcorrente	conc_152	ARROZ PARBOILIZADO PATEKO T1 5KG	0	uni
arrozConcorrente	conc_153	ARROZ BRANCO PILECCO NOBRE T1 2KG	0	uni
arrozConcorrente	conc_154	ARROZ BRANCO PATEKO T1 2KG	0	uni
arrozConcorrente	conc_155	ARROZ BRANCO PATEKO T1 1KG	0	uni
arrozConcorrente	conc_156	ARROZ BRANCO PILECCO NOBRE T1 1KG	0	uni
arrozConcorrente	conc_165	ARROZ INTEGRAL RARIS T1 1KG	0	uni
arrozConcorrente	conc_157	ARROZ BRANCO TIO JOAO VITAMINADO T1 1KG	0	uni
arrozConcorrente	conc_158	ARROZ INTEGRAL TIO JOAO T1 1KG	0	uni
arrozConcorrente	conc_159	ARROZ INTEGRAL TIO JOAO SAQUINHO T1 1KG	0	uni
arrozConcorrente	conc_160	ARROZ PARBOILIZADO TIO JOAO SAQUINHO T1 1KG	0	uni
arrozConcorrente	conc_161	ARROZ INTEGRAL UNCLE BENS T1 1KG	0	uni
arrozConcorrente	conc_162	ARROZ INTEGRAL PILECCO NOBRE T1 1KG	0	uni
arrozConcorrente	conc_163	ARROZ INTEGRAL PATEKO T1 1KG	0	uni
arrozConcorrente	conc_166	ARROZ ARBORIO BROTO LEGAL T1 1KG	0	uni
3	conc_197	ARROZ JAPONES SAKURA T1 5KG	0	uni
	conc_167	FEIJAO BRANCO BROTO LEGAL T1 1KG	0	uni
	conc_168	FEIJAO PRETO PATEKO T1 1KG	0	uni
	conc_184	FEIJAO PRETO LOPES T1 1KG	0	uni
arrozConcorrente	conc_185	ARROZ BRANCO QUALITA T1 5KG	0	uni
arrozConcorrente	conc_186	ARROZ BRANCO QUALITA T1 1KG	0	uni
feijaoConcorrente	conc_169	FEIJAO CARIOCA JOLI T1 1KG	0	uni
feijaoConcorrente	conc_170	FEIJAO CARIOCA OLIRON T1 1KG	0	uni
feijaoConcorrente	conc_187	FEIJAO CARIOCA QUALITA T1 1KG	0	uni
feijaoConcorrente	conc_171	FEIJAO CARIOCA GASPAR T1 1KG	0	uni
feijaoConcorrente	conc_172	FEIJAO CARIOCA PATEKO T1 1KG	0	uni
	conc_188	FEIJAO PRETO QUALITA T1 1KG	0	uni
arrozConcorrente	conc_173	ARROZ BRANCO COOP T1 5KG	0	uni
arrozConcorrente	conc_174	ARROZ BRANCO GUACIRA T1 5KG	0	uni
arrozConcorrente	conc_175	ARROZ BRANCO COOP T1 1KG	0	uni
feijaoConcorrente	conc_176	FEIJAO CARIOCA SOROCABA T1 1KG	0	uni
feijaoConcorrente	conc_177	FEIJAO CARIOCA COOP T1 1KG	0	uni
	conc_178	FEIJAO PRETO CAMPO BELO T1 1KG	0	uni
arrozConcorrente	conc_179	ARROZ BRANCO MAXIMO T1 5KG	0	uni
arrozConcorrente	conc_180	ARROZ BRANCO LOPES T1 5KG	0	uni
